FIRM,RACE,MODE,FRAME,LOC_WIDTH,LOC_HEIGHT,LAYER,OFFSET_X,OFFSET_Y,DELAY,FILENAME,BITMAPPTR
BASE    ,NORMAN  ,U,1,4,4,1,19,50,0,NO_U1   ,406985
BASE    ,NORMAN  ,U,2,4,4,1,4,5,0,NO_U2   ,472305
BASE    ,NORMAN  ,U,3,4,4,1,-8,2,0,NO_U3   ,519977
BASE    ,NORMAN  ,A,1,4,4,1,-18,-4,0,NO_BASE ,63287
BASE    ,NORMAN  ,G,1,4,4,4,-11,54,0,NO_DIRT ,37463
BASE    ,MAYA    ,U,1,4,4,1,14,20,0,MA_U1   ,586229
BASE    ,MAYA    ,U,2,4,4,1,-5,20,0,MA_U2   ,532861
BASE    ,MAYA    ,U,3,4,4,1,-12,14,0,MA_U3   ,541971
BASE    ,MAYA    ,A,1,4,4,1,-11,2,0,MA_BASE ,52860
BASE    ,MAYA    ,G,1,4,4,4,-33,56,0,MA_DIRT ,106317
BASE    ,GREEK   ,U,1,4,4,1,19,38,0,GR_U1   ,629270
BASE    ,GREEK   ,U,2,4,4,1,5,30,0,GR_U2   ,569287
BASE    ,GREEK   ,U,3,4,4,1,1,7,0,GR_U3   ,576153
BASE    ,GREEK   ,A,1,4,4,1,-8,1,0,GR_BASE ,20134
BASE    ,GREEK   ,G,1,4,4,4,-12,49,0,GR_DIRT ,31692
BASE    ,VIKING  ,U,1,4,4,1,18,47,0,VI_U1   ,611487
BASE    ,VIKING  ,U,2,4,4,1,16,28,0,VI_U2   ,551793
BASE    ,VIKING  ,U,3,4,4,1,-3,17,0,VI_U3   ,558221
BASE    ,VIKING  ,A,1,4,4,1,-4,4,0,VI_BASE ,89641
BASE    ,VIKING  ,G,1,4,4,4,-22,30,0,VI_DIRT ,0
BASE    ,PERSIAN ,U,1,4,4,1,17,54,0,PE_U1   ,646394
BASE    ,PERSIAN ,U,2,4,4,1,2,18,0,PE_U2   ,590310
BASE    ,PERSIAN ,U,3,4,4,1,-2,7,0,PE_U3   ,599651
BASE    ,PERSIAN ,A,1,4,4,1,-3,2,0,PE_BASE ,77068
BASE    ,PERSIAN ,G,1,4,4,4,-17,58,0,PE_DIRT ,113782
BASE    ,CHINESE ,U,1,4,4,1,9,38,0,CH_U1   ,616435
BASE    ,CHINESE ,U,2,4,4,1,9,28,0,CH_U2   ,622068
BASE    ,CHINESE ,U,3,4,4,1,9,8,0,CH_U3   ,633661
BASE    ,CHINESE ,A,1,4,4,1,-12,-1,0,CH_BASE ,8600
BASE    ,CHINESE ,G,1,4,4,4,-9,64,0,CH_DIRT ,102087
BASE    ,JAPANESE,U,1,4,4,1,15,58,0,JA_U1   ,642266
BASE    ,JAPANESE,U,2,4,4,1,-3,48,0,JA_U2   ,650923
BASE    ,JAPANESE,U,3,4,4,1,-6,8,0,JA_U3   ,658475
BASE    ,JAPANESE,A,1,4,4,1,-1,5,0,JA_BASE ,42795
BASE    ,JAPANESE,G,1,4,4,4,-4,71,0,JA_DIRT ,116447
BASE    ,EGYPTIAN,U,1,4,4,1,-7,36,0,EG_U1   ,834618
BASE    ,EGYPTIAN,U,2,4,4,1,-6,6,0,EG_U2   ,840636
BASE    ,EGYPTIAN,U,3,4,4,1,-8,-10,0,EG_U3   ,853540
BASE    ,EGYPTIAN,A,1,4,4,1,-19,-13,0,EG_BASE ,821142
BASE    ,EGYPTIAN,G,1,4,4,4,-11,76,0,EG_DIRT ,819498
