FIRM,RACE,FULL_SIZE,UNDERC_BMP,UNDERC_MAX,IDLE_BMP,GROUND_BMP,FIRSTFRAME,FRAMECOUNT,RACE_ID
BASE    ,NORMAN  ,1,0,0,0,0,1,6,1
BASE    ,MAYA    ,1,0,0,0,0,7,6,2
BASE    ,GREEK   ,1,0,0,0,0,13,6,3
BASE    ,VIKING  ,1,0,0,0,0,19,6,4
BASE    ,PERSIAN ,1,0,0,0,0,25,6,5
BASE    ,CHINESE ,1,0,0,0,0,31,6,6
BASE    ,JAPANESE,1,0,0,0,0,37,6,7
BASE    ,EGYPTIAN,1,0,0,0,0,43,6,8
BASE    ,INDIAN  ,1,0,0,0,0,49,6,9
BASE    ,ZULU    ,1,0,0,0,0,55,6,10
CAMP    ,        ,1,0,0,0,0,61,6,0
FACTORY ,        , ,0,0,0,0,67,6,0
HARBOR  ,S       ,0,0,0,0,0,115,6,0
HARBOR  ,E       ,0,0,0,0,0,109,6,0
HARBOR  ,W       ,0,0,0,0,0,121,6,0
HARBOR  ,N       ,0,0,0,0,0,103,6,0
INN     ,        ,1,0,0,0,0,73,6,0
MARKET  ,        ,1,0,0,0,0,79,6,0
MINE    ,        ,1,0,0,0,0,85,6,0
MONSTER ,HEADLESS,1,0,0,0,0,199,6,0
MONSTER ,MAN     ,1,0,0,0,0,193,6,0
MONSTER ,GIANTET ,1,0,0,0,0,145,6,0
MONSTER ,SKELETON,1,0,0,0,0,127,6,0
MONSTER ,GNOLL   ,1,0,0,0,0,175,6,0
MONSTER ,FIREKIN ,1,0,0,0,0,169,6,0
MONSTER ,GREMJERM,1,0,0,0,0,163,6,0
MONSTER ,HOBGLOB ,1,0,0,0,0,139,6,0
MONSTER ,GITH    ,1,0,0,0,0,151,6,0
MONSTER ,LYW     ,1,0,0,0,0,133,6,0
MONSTER ,GOBLIN  ,1,0,0,0,0,181,6,0
MONSTER ,LIZARD  ,1,0,0,0,0,187,6,0
MONSTER ,ROCKMAN ,1,0,0,0,0,157,6,0
RESEARCH,        , ,0,0,0,0,91,6,0
WAR     ,        ,1,0,0,0,0,97,6,0
