FIRM,RACE,FRAME,DELAY,FIRSTBMP,BMPCOUNT
BASE    ,NORMAN  ,1,2,1,1
BASE    ,NORMAN  ,2,2,2,1
BASE    ,NORMAN  ,3,2,3,1
BASE    ,NORMAN  ,4,2,4,1
BASE    ,NORMAN  ,5,2,5,1
BASE    ,NORMAN  ,6,4,6,1
BASE    ,MAYA    ,1,2,7,1
BASE    ,MAYA    ,2,2,8,1
BASE    ,MAYA    ,3,2,9,1
BASE    ,MAYA    ,4,2,10,1
BASE    ,MAYA    ,5,2,11,1
BASE    ,MAYA    ,6,4,12,1
BASE    ,GREEK   ,1,2,13,1
BASE    ,GREEK   ,2,2,14,1
BASE    ,GREEK   ,3,2,15,1
BASE    ,GREEK   ,4,2,16,1
BASE    ,GREEK   ,5,2,17,1
BASE    ,GREEK   ,6,4,18,1
BASE    ,VIKING  ,1,2,19,1
BASE    ,VIKING  ,2,2,20,1
BASE    ,VIKING  ,3,2,21,1
BASE    ,VIKING  ,4,2,22,1
BASE    ,VIKING  ,5,2,23,1
BASE    ,VIKING  ,6,4,24,1
BASE    ,PERSIAN ,1,2,25,1
BASE    ,PERSIAN ,2,2,26,1
BASE    ,PERSIAN ,3,2,27,1
BASE    ,PERSIAN ,4,2,28,1
BASE    ,PERSIAN ,5,2,29,1
BASE    ,PERSIAN ,6,4,30,1
BASE    ,CHINESE ,1,2,31,1
BASE    ,CHINESE ,2,2,32,1
BASE    ,CHINESE ,3,2,33,1
BASE    ,CHINESE ,4,2,34,1
BASE    ,CHINESE ,5,2,35,1
BASE    ,CHINESE ,6,4,36,1
BASE    ,JAPANESE,1,2,37,1
BASE    ,JAPANESE,2,2,38,1
BASE    ,JAPANESE,3,2,39,1
BASE    ,JAPANESE,4,2,40,1
BASE    ,JAPANESE,5,2,41,1
BASE    ,JAPANESE,6,4,42,1
BASE    ,EGYPTIAN,1,2,43,1
BASE    ,EGYPTIAN,2,2,44,1
BASE    ,EGYPTIAN,3,2,45,1
BASE    ,EGYPTIAN,4,2,46,1
BASE    ,EGYPTIAN,5,2,47,1
BASE    ,EGYPTIAN,6,4,48,1
BASE    ,INDIAN  ,1,2,49,1
BASE    ,INDIAN  ,2,2,50,1
BASE    ,INDIAN  ,3,2,51,1
BASE    ,INDIAN  ,4,2,52,1
BASE    ,INDIAN  ,5,2,53,1
BASE    ,INDIAN  ,6,4,54,1
BASE    ,ZULU    ,1,2,55,1
BASE    ,ZULU    ,2,2,56,1
BASE    ,ZULU    ,3,2,57,1
BASE    ,ZULU    ,4,2,58,1
BASE    ,ZULU    ,5,2,59,1
BASE    ,ZULU    ,6,4,60,1
CAMP    ,        ,1,2,61,1
CAMP    ,        ,2,2,62,1
CAMP    ,        ,3,2,63,1
CAMP    ,        ,4,2,64,1
CAMP    ,        ,5,2,65,1
CAMP    ,        ,6,4,66,1
FACTORY ,        ,1,2,67,1
FACTORY ,        ,2,2,68,1
FACTORY ,        ,3,2,69,1
FACTORY ,        ,4,2,70,1
FACTORY ,        ,5,2,71,1
FACTORY ,        ,6,4,72,1
INN     ,        ,1,2,73,1
INN     ,        ,2,2,74,1
INN     ,        ,3,2,75,1
INN     ,        ,4,2,76,1
INN     ,        ,5,2,77,1
INN     ,        ,6,4,78,1
MARKET  ,        ,1,2,79,1
MARKET  ,        ,2,2,80,1
MARKET  ,        ,3,2,81,1
MARKET  ,        ,4,2,82,1
MARKET  ,        ,5,2,83,1
MARKET  ,        ,6,4,84,1
MINE    ,        ,1,2,85,1
MINE    ,        ,2,2,86,1
MINE    ,        ,3,2,87,1
MINE    ,        ,4,2,88,1
MINE    ,        ,5,2,89,1
MINE    ,        ,6,4,90,1
RESEARCH,        ,1,2,91,1
RESEARCH,        ,2,2,92,1
RESEARCH,        ,3,2,93,1
RESEARCH,        ,4,2,94,1
RESEARCH,        ,5,2,95,1
RESEARCH,        ,6,4,96,1
WAR     ,        ,1,2,97,1
WAR     ,        ,2,2,98,1
WAR     ,        ,3,2,99,1
WAR     ,        ,4,2,100,1
WAR     ,        ,5,2,101,1
WAR     ,        ,6,4,102,1
HARBOR  ,N       ,1,2,103,1
HARBOR  ,N       ,2,2,104,1
HARBOR  ,N       ,3,2,105,1
HARBOR  ,N       ,4,2,106,1
HARBOR  ,N       ,5,2,107,1
HARBOR  ,N       ,6,4,108,1
HARBOR  ,E       ,1,2,109,1
HARBOR  ,E       ,2,2,110,1
HARBOR  ,E       ,3,2,111,1
HARBOR  ,E       ,4,2,112,1
HARBOR  ,E       ,5,2,113,1
HARBOR  ,E       ,6,4,114,1
HARBOR  ,S       ,1,2,115,1
HARBOR  ,S       ,2,2,116,1
HARBOR  ,S       ,3,2,117,1
HARBOR  ,S       ,4,2,118,1
HARBOR  ,S       ,5,2,119,1
HARBOR  ,S       ,6,4,120,1
HARBOR  ,W       ,1,2,121,1
HARBOR  ,W       ,2,2,122,1
HARBOR  ,W       ,3,2,123,1
HARBOR  ,W       ,4,2,124,1
HARBOR  ,W       ,5,2,125,1
