PATTERN_ID,SUB_PATTER,PRIORITY,SPECIAL,LAYER,BITMAPTYPE,OFFSET_X,OFFSET_Y,FILENAME,BITMAPPTR
1,0,7, ,2,T,0,0,HA-001  ,0
1,0,3, ,1,T,0,0,HB-001  ,53954
1,1,7, ,2,T,0,0,HA-001A ,306
1,1,3, ,1,T,0,0,HB-001A ,54645
2,0,7, ,2,T,0,0,HA-002  ,617
2,0,3, ,1,T,0,0,HB-002  ,55344
2,1,7, ,2,T,0,0,HA-002A ,864
2,1,3, ,1,T,0,0,HB-002A ,56056
3,0,7, ,1,T,0,0,HA-003  ,1231
3,0,3, ,1,T,0,0,HB-003  ,56841
3,1,7, ,1,T,0,0,HA-003A ,1836
3,1,3, ,1,T,0,0,HB-003A ,56858
4,0,7, ,1,T,0,0,HA-004  ,2479
4,0,3, ,1,T,0,0,HB-004  ,56931
4,1,7, ,1,T,0,0,HA-004A ,3177
4,1,3, ,1,T,0,0,HB-004A ,56950
5,0,7, ,2,T,0,0,HA-005  ,3990
5,0,3, ,1,T,0,0,HB-005  ,57040
6,0,7, ,2,T,0,0,HA-006  ,4697
6,0,3, ,1,T,0,0,HB-006  ,57802
7,0,7, ,1,T,0,0,HA-007  ,5261
7,0,3, ,1,T,0,0,HB-007  ,58670
8,0,7, ,1,T,0,0,HA-008  ,6036
8,0,3, ,1,T,0,0,HB-008  ,58785
9,0,7, ,1,T,0,0,HA-009  ,6921
9,0,3, ,1,T,0,0,HB-009  ,58914
9,1,7, ,1,T,0,0,HA-009A ,7765
9,1,3, ,1,T,0,0,HB-009A ,59520
9,2,7, ,1,T,0,0,HA-009B ,8569
9,2,3, ,1,T,0,0,HB-009B ,59949
9,3,7, ,1,T,0,0,HA-009C ,9366
9,3,3, ,1,T,0,0,HB-009C ,60728
9,0,7,G,1,T,0,0,HA-G09  ,98157
9,0,3,G,1,T,0,0,HB-G09  ,110909
9,0,7,I,1,T,0,0,HA-I09  ,98971
9,0,3,I,1,T,0,0,HB-I09  ,111778
10,0,7, ,1,T,0,0,HA-010  ,10286
10,0,3, ,1,T,0,0,HB-010  ,61345
10,1,7, ,1,T,0,0,HA-010A ,11145
10,1,3, ,1,T,0,0,HB-010A ,61948
10,2,7, ,1,T,0,0,HA-010B ,11947
10,2,3, ,1,T,0,0,HB-010B ,62605
10,3,7, ,1,T,0,0,HA-010C ,12664
10,3,3, ,1,T,0,0,HB-010C ,63204
10,0,7,J,1,T,0,0,HA-J10  ,99796
10,0,3,J,1,T,0,0,HB-J10  ,112568
10,0,7,L,1,T,0,0,HA-L10  ,100546
10,0,3,L,1,T,0,0,HB-L10  ,113400
11,0,7, ,1,T,0,0,HA-011  ,13473
11,0,3, ,1,T,0,0,HB-011  ,63830
11,1,7, ,1,T,0,0,HA-011A ,14504
11,1,3, ,1,T,0,0,HB-011A ,64173
11,2,7, ,1,T,0,0,HA-011B ,15536
11,2,3, ,1,T,0,0,HB-011B ,64642
11,3,7, ,1,T,0,0,HA-011C ,16568
11,3,3, ,1,T,0,0,HB-011C ,65094
11,0,7,B,1,T,0,0,HA-B11  ,101407
11,0,3,B,1,T,0,0,HB-B11  ,114125
11,0,7,C,1,T,0,0,HA-C11  ,102432
11,0,3,C,1,T,0,0,HB-C11  ,114386
12,0,7, ,2,T,0,0,HA-012  ,17592
12,0,3, ,1,T,0,0,HB-012  ,65189
12,1,7, ,2,T,0,0,HA-012A ,18132
12,1,3, ,1,T,0,0,HB-012A ,66221
12,2,7, ,2,T,0,0,HA-012B ,18708
12,2,3, ,1,T,0,0,HB-012B ,67253
12,3,7, ,2,T,0,0,HA-012C ,19293
12,3,3, ,1,T,0,0,HB-012C ,68285
12,0,7,D,1,T,0,0,HA-D12  ,103460
12,0,3,D,1,T,0,0,HB-D12  ,114703
12,0,7,E,1,T,0,0,HA-E12  ,104232
12,0,3,E,1,T,0,0,HB-E12  ,115735
13,0,7, ,1,T,0,0,HA-013  ,19785
13,0,3, ,1,T,0,0,HB-013  ,69317
13,1,7, ,1,T,0,0,HA-013A ,20792
13,1,3, ,1,T,0,0,HB-013A ,70123
13,0,7,G,1,T,0,0,HA-G13  ,105015
13,0,3,G,1,T,0,0,HB-G13  ,116767
14,0,7, ,1,T,0,0,HA-014  ,21808
14,0,3, ,1,T,0,0,HB-014  ,70899
14,1,7, ,1,T,0,0,HA-014A ,22834
14,1,3, ,1,T,0,0,HB-014A ,71772
14,0,7,J,1,T,0,0,HA-J14  ,106027
14,0,3,J,1,T,0,0,HB-J14  ,117649
15,0,7, ,1,T,0,0,HA-015  ,23840
15,0,3, ,1,T,0,0,HB-015  ,72695
15,1,7, ,1,T,0,0,HA-015A ,24872
15,1,3, ,1,T,0,0,HB-015A ,73281
15,0,7,B,1,T,0,0,HA-B15  ,107001
15,0,3,B,1,T,0,0,HB-B15  ,118513
15,0,7,C,1,T,0,0,HA-C15  ,108033
15,0,3,C,1,T,0,0,HB-C15  ,119303
16,0,7, ,2,T,0,0,HA-016  ,25904
16,0,3, ,1,T,0,0,HB-016  ,73950
16,1,7, ,2,T,0,0,HA-016A ,26816
16,1,3, ,1,T,0,0,HB-016A ,74982
16,0,7,D,1,T,0,0,HA-D16  ,109065
16,0,3,D,1,T,0,0,HB-D16  ,120146
16,0,7,E,1,T,0,0,HA-E16  ,109973
16,0,3,E,1,T,0,0,HB-E16  ,121178
17,0,7, ,1,T,0,0,HA-017  ,27710
17,0,3, ,1,T,0,0,HB-017  ,76014
17,1,7, ,1,T,0,0,HA-017A ,28580
17,1,3, ,1,T,0,0,HB-017A ,76869
18,0,7, ,1,T,0,0,HA-018  ,29463
18,0,3, ,1,T,0,0,HB-018  ,77678
18,1,7, ,1,T,0,0,HA-018A ,30398
18,1,3, ,1,T,0,0,HB-018A ,78552
19,0,7, ,1,T,0,0,HA-019  ,31226
19,0,3, ,1,T,0,0,HB-019  ,79344
19,1,7, ,1,T,0,0,HA-019A ,32251
19,1,3, ,1,T,0,0,HB-019A ,79559
20,0,7, ,2,T,0,0,HA-020  ,33283
20,0,3, ,1,T,0,0,HB-020  ,80261
20,1,7, ,2,T,0,0,HA-020A ,34006
20,1,3, ,1,T,0,0,HB-020A ,81293
21,0,7, ,1,T,0,0,HA-021  ,34781
21,0,3, ,1,T,0,0,HB-021  ,82325
21,1,7, ,1,T,0,0,HA-021A ,35773
21,1,3, ,1,T,0,0,HB-021A ,82997
22,0,7, ,1,T,0,0,HA-022  ,36792
22,0,3, ,1,T,0,0,HB-022  ,83749
22,1,7, ,1,T,0,0,HA-022A ,37788
22,1,3, ,1,T,0,0,HB-022A ,84517
23,0,7, ,1,T,0,0,HA-023  ,38782
23,0,3, ,1,T,0,0,HB-023  ,85218
23,1,7, ,1,T,0,0,HA-023A ,39812
23,1,3, ,1,T,0,0,HB-023A ,85520
24,0,7, ,2,T,0,0,HA-024  ,40844
24,0,3, ,1,T,0,0,HB-024  ,85921
24,1,7, ,2,T,0,0,HA-024A ,41644
24,1,3, ,1,T,0,0,HB-024A ,86953
25,0,7, ,1,T,0,0,HA-025  ,122210
