ROCKID,TYPE,LOC_WIDTH,LOC_HEIGHT,TERRAIN_1,TERRAIN_2,FIRST_ANIM,MAX_FRAME
DD1  ,D,2,2,G,F,1,1
DD2  ,D,2,2,G,F,2,1
DD3  ,D,2,2,G,F,3,1
DD4  ,D,2,2,G,F,4,1
DQ1  ,D,4,3,G,F,5,1
DQ2  ,D,4,3,G,F,6,1
DQ3  ,D,4,3,G,F,7,1
DQ4  ,D,4,3,G,F,8,1
DQ5  ,D,4,3,G,F,9,1
DQ6  ,D,4,3,G,F,10,1
RA1  ,R,1,1,D,D,11,1
RA2  ,R,1,1,D,D,12,1
RA3  ,R,1,1,D,D,13,1
RA4  ,R,1,1,D,D,14,1
RA5  ,R,1,1,D,D,15,1
RA6  ,R,1,1,D,D,16,1
RA7  ,R,1,1,D,D,17,1
RA8  ,R,1,1,G,F,18,1
RA9  ,R,1,1,G,F,19,1
RAA  ,R,1,1,G,F,20,1
RAB  ,R,1,1,G,F,21,1
RAC  ,R,1,1,G,F,22,1
RAD  ,R,1,1,G,F,23,1
RD1  ,R,2,2,D,D,24,1
RD2  ,R,2,2,D,D,25,1
RD3  ,R,2,2,D,D,26,1
RQ1  ,R,4,3,G,F,27,1
RQ2  ,R,4,4,G,F,28,1
RQ3  ,R,4,3,G,F,29,1
RQ4  ,R,4,4,G,F,30,1
RT1  ,R,3,3,D,D,31,1
RT2  ,R,3,3,D,D,32,1
RT3  ,R,3,3,D,D,33,1
RT4  ,R,3,3,D,D,34,1
RT5  ,R,3,3,D,D,35,1
RT6  ,R,3,3,D,D,36,1
RT7  ,R,3,3,D,D,37,1
