ROCKID,FRAME_NO,DELAY,NEXT_FRAME,ALT_NEXT
DD1  ,1,99,1,1
DD2  ,1,99,1,1
DD3  ,1,99,1,1
DD4  ,1,99,1,1
DQ1  ,1,99,1,1
DQ2  ,1,99,1,1
DQ3  ,1,99,1,1
DQ4  ,1,99,1,1
DQ5  ,1,99,1,1
DQ6  ,1,99,1,1
RA1  ,1,99,1,1
RA2  ,1,99,1,1
RA3  ,1,99,1,1
RA4  ,1,99,1,1
RA5  ,1,99,1,1
RA6  ,1,99,1,1
RA7  ,1,99,1,1
RA8  ,1,99,1,1
RA9  ,1,99,1,1
RAA  ,1,99,1,1
RAB  ,1,99,1,1
RAC  ,1,99,1,1
RAD  ,1,99,1,1
RD1  ,1,99,1,1
RD2  ,1,99,1,1
RD3  ,1,99,1,1
RQ1  ,1,99,1,1
RQ2  ,1,99,1,1
RQ3  ,1,99,1,1
RQ4  ,1,99,1,1
RT1  ,1,99,1,1
RT2  ,1,99,1,1
RT3  ,1,99,1,1
RT4  ,1,99,1,1
RT5  ,1,99,1,1
RT6  ,1,99,1,1
RT7  ,1,99,1,1
