ROCKID,X_LOC,Y_LOC,FRAME_NO,FILENAME,BITMAPPTR
DD1  ,0,0,1,DD1-00  ,130032
DD1  ,1,0,1,DD1-01  ,131064
DD1  ,0,1,1,DD1-10  ,132096
DD1  ,1,1,1,DD1-11  ,133128
DD2  ,0,0,1,DD2-00  ,134160
DD2  ,1,0,1,DD2-01  ,135192
DD2  ,0,1,1,DD2-10  ,136224
DD2  ,1,1,1,DD2-11  ,137256
DD3  ,0,0,1,DD3-00  ,138288
DD3  ,1,0,1,DD3-01  ,139320
DD3  ,0,1,1,DD3-10  ,140352
DD3  ,1,1,1,DD3-11  ,141384
DD4  ,0,0,1,DD4-00  ,142416
DD4  ,1,0,1,DD4-01  ,143448
DD4  ,0,1,1,DD4-10  ,144480
DD4  ,1,1,1,DD4-11  ,145512
DQ1  ,0,0,1,DQ1-00  ,146544
DQ1  ,1,0,1,DQ1-01  ,147576
DQ1  ,2,0,1,DQ1-02  ,148608
DQ1  ,3,0,1,DQ1-03  ,149640
DQ1  ,0,1,1,DQ1-10  ,150672
DQ1  ,1,1,1,DQ1-11  ,151704
DQ1  ,2,1,1,DQ1-12  ,152736
DQ1  ,3,1,1,DQ1-13  ,153768
DQ1  ,0,2,1,DQ1-20  ,154800
DQ1  ,1,2,1,DQ1-21  ,155832
DQ1  ,2,2,1,DQ1-22  ,156864
DQ1  ,3,2,1,DQ1-23  ,157896
DQ2  ,0,0,1,DQ2-00  ,158928
DQ2  ,1,0,1,DQ2-01  ,159960
DQ2  ,2,0,1,DQ2-02  ,160992
DQ2  ,3,0,1,DQ2-03  ,162024
DQ2  ,0,1,1,DQ2-10  ,163056
DQ2  ,1,1,1,DQ2-11  ,164088
DQ2  ,2,1,1,DQ2-12  ,165120
DQ2  ,3,1,1,DQ2-13  ,166152
DQ2  ,0,2,1,DQ2-20  ,167184
DQ2  ,1,2,1,DQ2-21  ,168216
DQ2  ,2,2,1,DQ2-22  ,169248
DQ2  ,3,2,1,DQ2-23  ,170280
DQ3  ,0,0,1,DQ3-00  ,171312
DQ3  ,1,0,1,DQ3-01  ,172344
DQ3  ,2,0,1,DQ3-02  ,173376
DQ3  ,3,0,1,DQ3-03  ,174408
DQ3  ,0,1,1,DQ3-10  ,175440
DQ3  ,1,1,1,DQ3-11  ,176472
DQ3  ,2,1,1,DQ3-12  ,177504
DQ3  ,3,1,1,DQ3-13  ,178536
DQ3  ,0,2,1,DQ3-20  ,179568
DQ3  ,1,2,1,DQ3-21  ,180600
DQ3  ,2,2,1,DQ3-22  ,181632
DQ3  ,3,2,1,DQ3-23  ,182664
DQ4  ,0,0,1,DQ4-00  ,183696
DQ4  ,1,0,1,DQ4-01  ,184728
DQ4  ,2,0,1,DQ4-02  ,185760
DQ4  ,3,0,1,DQ4-03  ,186792
DQ4  ,0,1,1,DQ4-10  ,187824
DQ4  ,1,1,1,DQ4-11  ,188856
DQ4  ,2,1,1,DQ4-12  ,189888
DQ4  ,3,1,1,DQ4-13  ,190920
DQ4  ,0,2,1,DQ4-20  ,191952
DQ4  ,1,2,1,DQ4-21  ,192984
DQ4  ,2,2,1,DQ4-22  ,194016
DQ4  ,3,2,1,DQ4-23  ,195048
DQ5  ,0,0,1,DQ5-00  ,196080
DQ5  ,1,0,1,DQ5-01  ,197112
DQ5  ,2,0,1,DQ5-02  ,198144
DQ5  ,3,0,1,DQ5-03  ,199176
DQ5  ,0,1,1,DQ5-10  ,200208
DQ5  ,1,1,1,DQ5-11  ,201240
DQ5  ,2,1,1,DQ5-12  ,202272
DQ5  ,3,1,1,DQ5-13  ,203304
DQ5  ,0,2,1,DQ5-20  ,204336
DQ5  ,1,2,1,DQ5-21  ,205368
DQ5  ,2,2,1,DQ5-22  ,206400
DQ5  ,3,2,1,DQ5-23  ,207432
DQ6  ,0,0,1,DQ6-00  ,208464
DQ6  ,1,0,1,DQ6-01  ,209496
DQ6  ,2,0,1,DQ6-02  ,210528
DQ6  ,3,0,1,DQ6-03  ,211560
DQ6  ,0,1,1,DQ6-10  ,212592
DQ6  ,1,1,1,DQ6-11  ,213624
DQ6  ,2,1,1,DQ6-12  ,214656
DQ6  ,3,1,1,DQ6-13  ,215688
DQ6  ,0,2,1,DQ6-20  ,216720
DQ6  ,1,2,1,DQ6-21  ,217752
DQ6  ,2,2,1,DQ6-22  ,218784
DQ6  ,3,2,1,DQ6-23  ,219816
RA1  ,0,0,1,RA1-00  ,0
RA2  ,0,0,1,RA2-00  ,2064
RA3  ,0,0,1,RA3-00  ,3096
RA4  ,0,0,1,RA4-00  ,4128
RA5  ,0,0,1,RA5-00  ,5160
RA6  ,0,0,1,RA6-00  ,6192
RA7  ,0,0,1,RA7-00  ,7224
RA8  ,0,0,1,RA8-00  ,232200
RA9  ,0,0,1,RA9-00  ,233232
RAA  ,0,0,1,RAA-00  ,234264
RAB  ,0,0,1,RAB-00  ,235296
RAC  ,0,0,1,RAC-00  ,236328
RAD  ,0,0,1,RAD-00  ,237360
RD1  ,0,0,1,RD1-00  ,8256
RD1  ,1,0,1,RD1-01  ,9288
