SPRITE,ACTION,DIR,FRAME,OFFSET_X,OFFSET_Y,WIDTH,HEIGHT,FILENAME,BITMAPPTR
NORMAN  ,M ,N ,1 ,-4,-17,35,46,NO-M5-1 ,23641
NORMAN  ,M ,N ,2 ,-5,-19,36,48,NO-M5-2 ,24845
NORMAN  ,M ,N ,3 ,-3,-17,34,50,NO-M5-3 ,26046
NORMAN  ,M ,N ,4 ,-4,-17,35,46,NO-M5-1 ,23641
NORMAN  ,M ,N ,5 ,-5,-19,36,49,NO-M5-4 ,27181
NORMAN  ,M ,N ,6 ,-3,-19,34,53,NO-M5-5 ,28317
NORMAN  ,M ,NE,1 ,-4,-18,33,45,NO-M4-1 ,17790
NORMAN  ,M ,NE,2 ,-3,-21,36,45,NO-M4-2 ,18888
NORMAN  ,M ,NE,3 ,-3,-19,39,45,NO-M4-3 ,20014
NORMAN  ,M ,NE,4 ,-4,-18,33,45,NO-M4-1 ,17790
NORMAN  ,M ,NE,5 ,-6,-19,40,50,NO-M4-4 ,21175
NORMAN  ,M ,NE,6 ,-7,-18,45,52,NO-M4-5 ,22368
NORMAN  ,M ,E ,1 ,3,-20,25,50,NO-M3-1 ,12429
NORMAN  ,M ,E ,2 ,2,-21,37,47,NO-M3-2 ,13315
NORMAN  ,M ,E ,3 ,3,-20,34,49,NO-M3-3 ,14425
NORMAN  ,M ,E ,4 ,3,-20,25,50,NO-M3-1 ,12429
NORMAN  ,M ,E ,5 ,-2,-21,37,50,NO-M3-4 ,15521
NORMAN  ,M ,E ,6 ,-5,-19,43,48,NO-M3-5 ,16601
NORMAN  ,M ,SE,1 ,4,-19,28,53,NO-M2-1 ,6442
NORMAN  ,M ,SE,2 ,-4,-20,49,49,NO-M2-2 ,7514
NORMAN  ,M ,SE,3 ,0,-19,39,57,NO-M2-3 ,8855
NORMAN  ,M ,SE,4 ,4,-19,28,53,NO-M2-1 ,6442
NORMAN  ,M ,SE,5 ,3,-22,31,49,NO-M2-4 ,10124
NORMAN  ,M ,SE,6 ,0,-22,36,53,NO-M2-5 ,11254
NORMAN  ,M ,S ,1 ,2,-19,33,52,NO-M1-1 ,0
NORMAN  ,M ,S ,2 ,1,-20,34,47,NO-M1-2 ,1265
NORMAN  ,M ,S ,3 ,1,-19,34,59,NO-M1-3 ,2540
NORMAN  ,M ,S ,4 ,2,-19,33,52,NO-M1-1 ,0
NORMAN  ,M ,S ,5 ,1,-19,36,49,NO-M1-4 ,3856
NORMAN  ,M ,S ,6 ,2,-17,34,57,NO-M1-5 ,5142
NORMAN  ,M ,SW,1 ,1,-19,28,53,NO-M2-1 ,6442
NORMAN  ,M ,SW,2 ,-12,-20,49,49,NO-M2-2 ,7514
NORMAN  ,M ,SW,3 ,-6,-19,39,57,NO-M2-3 ,8855
NORMAN  ,M ,SW,4 ,1,-19,28,53,NO-M2-1 ,6442
NORMAN  ,M ,SW,5 ,-1,-22,31,49,NO-M2-4 ,10124
NORMAN  ,M ,SW,6 ,-3,-22,36,53,NO-M2-5 ,11254
NORMAN  ,M ,W ,1 ,5,-20,25,50,NO-M3-1 ,12429
NORMAN  ,M ,W ,2 ,-6,-21,37,47,NO-M3-2 ,13315
NORMAN  ,M ,W ,3 ,-4,-20,34,49,NO-M3-3 ,14425
NORMAN  ,M ,W ,4 ,5,-20,25,50,NO-M3-1 ,12429
NORMAN  ,M ,W ,5 ,-2,-21,37,50,NO-M3-4 ,15521
NORMAN  ,M ,W ,6 ,-5,-19,43,48,NO-M3-5 ,16601
NORMAN  ,M ,NW,1 ,4,-18,33,45,NO-M4-1 ,17790
NORMAN  ,M ,NW,2 ,0,-21,36,45,NO-M4-2 ,18888
NORMAN  ,M ,NW,3 ,-3,-19,39,45,NO-M4-3 ,20014
NORMAN  ,M ,NW,4 ,4,-18,33,45,NO-M4-1 ,17790
NORMAN  ,M ,NW,5 ,-1,-19,40,50,NO-M4-4 ,21175
NORMAN  ,M ,NW,6 ,-5,-18,45,52,NO-M4-5 ,22368
NORMAN  ,A1,N ,1 ,-10,-32,46,63,NO-A5-1 ,56612
NORMAN  ,A1,N ,2 ,-12,-18,46,48,NO-A5-2 ,57918
NORMAN  ,A1,N ,3 ,-11,-29,42,60,NO-A5-3 ,59214
NORMAN  ,A1,N ,4 ,-11,-41,40,71,NO-A5-4 ,60651
NORMAN  ,A1,N ,5 ,-13,-35,40,62,NO-A5-5 ,62162
NORMAN  ,A1,NE,1 ,-2,-23,46,47,NO-A4-1 ,49360
NORMAN  ,A1,NE,2 ,-5,-23,40,46,NO-A4-2 ,50578
NORMAN  ,A1,NE,3 ,-4,-23,46,46,NO-A4-3 ,51777
NORMAN  ,A1,NE,4 ,-8,-44,47,67,NO-A4-4 ,53180
NORMAN  ,A1,NE,5 ,-10,-30,65,56,NO-A4-5 ,54785
