PATTERN_ID,SUB_PATTER,PRIORITY,SPECIAL,LAYER,BITMAPTYPE,OFFSET_X,OFFSET_Y,FILENAME,BITMAPPTR
1,0,7, ,2,T,0,0,HA-001  ,0
1,0,3, ,1,T,0,0,HB-001  ,44021
1,1,7, ,2,T,0,0,HA-001A ,272
1,1,3, ,1,T,0,0,HB-001A ,44751
2,0,7, ,2,T,0,0,HA-002  ,569
2,0,3, ,1,T,0,0,HB-002  ,45431
2,1,7, ,2,T,0,0,HA-002A ,843
2,1,3, ,1,T,0,0,HB-002A ,46098
3,0,7, ,1,T,0,0,HA-003  ,1127
3,0,3, ,1,T,0,0,HB-003  ,46750
3,1,7, ,1,T,0,0,HA-003A ,1839
3,1,3, ,1,T,0,0,HB-003A ,47416
4,0,7, ,1,T,0,0,HA-004  ,2548
4,0,3, ,1,T,0,0,HB-004  ,47877
4,1,7, ,1,T,0,0,HA-004A ,3281
4,1,3, ,1,T,0,0,HB-004A ,48320
5,0,7, ,2,T,0,0,HA-005  ,4008
5,0,3, ,1,T,0,0,HB-005  ,48879
6,0,7, ,2,T,0,0,HA-006  ,4297
6,0,3, ,1,T,0,0,HB-006  ,49625
7,0,7, ,1,T,0,0,HA-007  ,4572
7,0,3, ,1,T,0,0,HB-007  ,50330
8,0,7, ,1,T,0,0,HA-008  ,5282
8,0,3, ,1,T,0,0,HB-008  ,50850
9,0,7, ,1,T,0,0,HA-009  ,6128
9,0,3, ,1,T,0,0,HB-009  ,51656
9,1,7, ,1,T,0,0,HA-009A ,6852
9,1,3, ,1,T,0,0,HB-009A ,52411
9,2,7, ,1,T,0,0,HA-009B ,7575
9,2,3, ,1,T,0,0,HB-009B ,53131
9,3,7, ,1,T,0,0,HA-009C ,8239
9,3,3, ,1,T,0,0,HB-009C ,53792
9,0,7,G,1,T,0,0,HA-G09  ,94368
9,0,3,G,1,T,0,0,HB-G09  ,105775
9,0,7,I,1,T,0,0,HA-I09  ,95117
9,0,3,I,1,T,0,0,HB-I09  ,106606
10,0,7, ,1,T,0,0,HA-010  ,9007
10,0,3, ,1,T,0,0,HB-010  ,54568
10,1,7, ,1,T,0,0,HA-010A ,9678
10,1,3, ,1,T,0,0,HB-010A ,55232
10,2,7, ,1,T,0,0,HA-010B ,10373
10,2,3, ,1,T,0,0,HB-010B ,55888
10,3,7, ,1,T,0,0,HA-010C ,11194
10,3,3, ,1,T,0,0,HB-010C ,56673
10,0,7,J,1,T,0,0,HA-J10  ,95902
10,0,3,J,1,T,0,0,HB-J10  ,107414
10,0,7,L,1,T,0,0,HA-L10  ,96651
10,0,3,L,1,T,0,0,HB-L10  ,108245
11,0,7, ,1,T,0,0,HA-011  ,11866
11,0,3, ,1,T,0,0,HB-011  ,57361
11,1,7, ,1,T,0,0,HA-011A ,12898
11,1,3, ,1,T,0,0,HB-011A ,58273
11,2,7, ,1,T,0,0,HA-011B ,13930
11,2,3, ,1,T,0,0,HB-011B ,59113
11,3,7, ,1,T,0,0,HA-011C ,14962
11,3,3, ,1,T,0,0,HB-011C ,59991
11,0,7,B,1,T,0,0,HA-B11  ,97341
11,0,3,B,1,T,0,0,HB-B11  ,108915
11,0,7,C,1,T,0,0,HA-C11  ,98373
11,0,3,C,1,T,0,0,HB-C11  ,109302
12,0,7, ,2,T,0,0,HA-012  ,15994
12,0,3, ,1,T,0,0,HB-012  ,60807
12,1,7, ,2,T,0,0,HA-012A ,16509
12,1,3, ,1,T,0,0,HB-012A ,61839
12,2,7, ,2,T,0,0,HA-012B ,17022
12,2,3, ,1,T,0,0,HB-012B ,62871
12,3,7, ,2,T,0,0,HA-012C ,17582
12,3,3, ,1,T,0,0,HB-012C ,63903
12,0,7,D,1,T,0,0,HA-D12  ,99405
12,0,3,D,1,T,0,0,HB-D12  ,109691
12,0,7,E,1,T,0,0,HA-E12  ,100077
12,0,3,E,1,T,0,0,HB-E12  ,109708
13,0,7, ,1,T,0,0,HA-013  ,18099
13,0,3, ,1,T,0,0,HB-013  ,64935
13,1,7, ,1,T,0,0,HA-013A ,18854
13,1,3, ,1,T,0,0,HB-013A ,65708
13,0,7,G,1,T,0,0,HA-G13  ,100809
13,0,3,G,1,T,0,0,HB-G13  ,109725
14,0,7, ,1,T,0,0,HA-014  ,19627
14,0,3, ,1,T,0,0,HB-014  ,66458
14,1,7, ,1,T,0,0,HA-014A ,20387
14,1,3, ,1,T,0,0,HB-014A ,67209
14,0,7,J,1,T,0,0,HA-J14  ,101558
14,0,3,J,1,T,0,0,HB-J14  ,110556
15,0,7, ,1,T,0,0,HA-015  ,21122
15,0,3, ,1,T,0,0,HB-015  ,67926
15,1,7, ,1,T,0,0,HA-015A ,22154
15,1,3, ,1,T,0,0,HB-015A ,68795
15,0,7,B,1,T,0,0,HA-B15  ,102307
15,0,3,B,1,T,0,0,HB-B15  ,111387
15,0,7,C,1,T,0,0,HA-C15  ,103339
15,0,3,C,1,T,0,0,HB-C15  ,111774
16,0,7, ,2,T,0,0,HA-016  ,23186
16,0,3, ,1,T,0,0,HB-016  ,69576
16,1,7, ,2,T,0,0,HA-016A ,23718
16,1,3, ,1,T,0,0,HB-016A ,70608
16,0,7,D,1,T,0,0,HA-D16  ,104371
16,0,3,D,1,T,0,0,HB-D16  ,112162
16,0,7,E,1,T,0,0,HA-E16  ,105043
16,0,3,E,1,T,0,0,HB-E16  ,112179
17,0,7, ,1,T,0,0,HA-017  ,24231
17,0,3, ,1,T,0,0,HB-017  ,71640
17,1,7, ,1,T,0,0,HA-017A ,24893
17,1,3, ,1,T,0,0,HB-017A ,72309
18,0,7, ,1,T,0,0,HA-018  ,25616
18,0,3, ,1,T,0,0,HB-018  ,73066
18,1,7, ,1,T,0,0,HA-018A ,26371
18,1,3, ,1,T,0,0,HB-018A ,73838
19,0,7, ,1,T,0,0,HA-019  ,27124
19,0,3, ,1,T,0,0,HB-019  ,74624
19,1,7, ,1,T,0,0,HA-019A ,28156
19,1,3, ,1,T,0,0,HB-019A ,75434
20,0,7, ,2,T,0,0,HA-020  ,29188
20,0,3, ,1,T,0,0,HB-020  ,76211
20,1,7, ,2,T,0,0,HA-020A ,29711
20,1,3, ,1,T,0,0,HB-020A ,77243
21,0,7, ,1,T,0,0,HA-021  ,30237
21,0,3, ,1,T,0,0,HB-021  ,78275
21,1,7, ,1,T,0,0,HA-021A ,30850
21,1,3, ,1,T,0,0,HB-021A ,78901
22,0,7, ,1,T,0,0,HA-022  ,31529
22,0,3, ,1,T,0,0,HB-022  ,79651
22,1,7, ,1,T,0,0,HA-022A ,32328
22,1,3, ,1,T,0,0,HB-022A ,80440
23,0,7, ,1,T,0,0,HA-023  ,33080
23,0,3, ,1,T,0,0,HB-023  ,81181
23,1,7, ,1,T,0,0,HA-023A ,34112
23,1,3, ,1,T,0,0,HB-023A ,81991
24,0,7, ,2,T,0,0,HA-024  ,35144
24,0,3, ,1,T,0,0,HB-024  ,82766
24,1,7, ,2,T,0,0,HA-024A ,35646
24,1,3, ,1,T,0,0,HB-024A ,83798
25,0,7, ,1,T,0,0,HA-025  ,112196
25,0,3, ,1,T,0,0,HB-025  ,140696
26,0,7, ,1,T,0,0,HA-026  ,113054
26,0,3, ,1,T,0,0,HB-026  ,141728
27,0,7, ,1,T,0,0,HA-027  ,113912
27,0,3, ,1,T,0,0,HB-027  ,142760
28,0,7, ,1,T,0,0,HA-028  ,114944
28,0,3, ,1,T,0,0,HB-028  ,143679
29,0,7, ,1,T,0,0,HA-029  ,115976
29,0,3, ,1,T,0,0,HB-029  ,144598
30,0,7, ,1,T,0,0,HA-030  ,116834
30,0,3, ,1,T,0,0,HB-030  ,145630
31,0,7, ,1,T,0,0,HA-031  ,117692
31,0,3, ,1,T,0,0,HB-031  ,146662
32,0,7, ,1,T,0,0,HA-032  ,118724
32,0,3, ,1,T,0,0,HB-032  ,147581
33,0,7, ,1,T,0,0,HA-033  ,119756
33,0,3, ,1,T,0,0,HB-033  ,148500
34,0,7, ,1,T,0,0,HA-034  ,120614
34,0,3, ,1,T,0,0,HB-034  ,149532
35,0,7, ,1,T,0,0,HA-035  ,121472
35,0,3, ,1,T,0,0,HB-035  ,150564
36,0,7, ,1,T,0,0,HA-036  ,122504
36,0,3, ,1,T,0,0,HB-036  ,151483
37,0,7, ,1,T,0,0,HA-037  ,36154
37,0,3, ,1,T,0,0,HB-037  ,84830
38,0,7, ,1,T,0,0,HA-038  ,37095
38,0,3, ,1,T,0,0,HB-038  ,85862
39,0,7, ,1,T,0,0,HA-039  ,38020
39,0,3, ,1,T,0,0,HB-039  ,86894
40,0,7, ,1,T,0,0,HA-040  ,39052
40,0,3, ,1,T,0,0,HB-040  ,87870
41,0,7, ,2,T,0,0,HA-041  ,40084
41,0,3, ,1,T,0,0,HB-041  ,88881
42,0,7, ,2,T,0,0,HA-042  ,40350
42,0,3, ,1,T,0,0,HB-042  ,89585
43,0,7, ,1,T,0,0,HA-043  ,40608
43,0,3, ,1,T,0,0,HB-043  ,90252
44,0,7, ,1,T,0,0,HA-044  ,41286
44,0,3, ,1,T,0,0,HB-044  ,90994
45,0,7, ,2,T,0,0,HA-045  ,41989
45,0,3, ,1,T,0,0,HB-045  ,91849
46,0,7, ,2,T,0,0,HA-046  ,42260
46,0,3, ,1,T,0,0,HB-046  ,92562
47,0,7, ,1,T,0,0,HA-047  ,42518
47,0,3, ,1,T,0,0,HB-047  ,93212
48,0,7, ,1,T,0,0,HA-048  ,43245
48,0,3, ,1,T,0,0,HB-048  ,93832
49,0,7, ,1,T,0,0,HA-049  ,43987
49,0,3, ,1,T,0,0,HB-049  ,94334
50,0,7, ,1,T,0,0,HA-050  ,44004
50,0,3, ,1,T,0,0,HB-050  ,94351
51,0,7, ,1,T,0,0,HA-051  ,123536
51,0,3, ,1,T,0,0,HB-051  ,152402
52,0,7, ,1,T,0,0,HA-052  ,124394
52,0,3, ,1,T,0,0,HB-052  ,153321
53,0,7, ,1,T,0,0,HA-053  ,125252
