ROCKID,TYPE,LOC_WIDTH,LOC_HEIGHT,TERRAIN_1,TERRAIN_2,FIRST_ANIM,MAX_FRAME
DA1  ,D,1,1,D,D,1,1
DA2  ,D,1,1,D,D,2,1
DA3  ,D,1,1,D,D,3,1
DA4  ,D,1,1,D,D,4,1
DA5  ,D,1,1,G,F,5,1
DA6  ,D,1,1,G,F,6,1
DA7  ,D,1,1,G,F,7,1
DA8  ,D,1,1,G,F,8,1
DA9  ,D,1,1,G,F,9,1
DB1  ,D,2,1,D,D,10,1
DB3  ,D,2,2,D,D,11,1
DB4  ,D,2,2,G,F,12,1
DB5  ,D,2,1,G,F,13,1
DB6  ,D,2,2,G,F,14,1
DB7  ,D,2,2,G,F,15,1
DB8  ,D,2,2,D,D,16,1
DB9  ,D,2,2,D,D,17,1
DBA  ,D,2,2,D,D,18,1
DBB  ,D,2,2,D,D,19,1
DBC  ,D,2,2,D,D,20,1
DBD  ,D,2,2,D,D,21,1
DBE  ,D,2,2,D,D,22,1
DBF  ,D,2,2,D,D,23,1
DBG  ,D,2,2,D,D,24,1
DBH  ,D,2,2,D,D,25,1
DBI  ,D,2,2,D,D,26,1
DBJ  ,D,2,2,D,D,27,1
DBK  ,D,2,2,D,D,28,1
DBL  ,D,2,2,D,D,29,1
DBM  ,D,2,2,D,D,30,1
DBN  ,D,2,2,D,D,31,1
DBO  ,D,2,2,D,D,32,1
DBP  ,D,2,2,D,D,33,1
DBQ  ,D,2,2,D,D,34,1
DBR  ,D,2,2,D,D,35,1
DBS  ,D,2,2,D,D,36,1
DBT  ,D,2,2,D,D,37,1
DBU  ,D,2,2,D,D,38,1
DBV  ,D,2,2,D,D,39,1
DBW  ,D,2,2,D,D,40,1
DBX  ,D,2,2,D,D,41,1
DBY  ,D,2,2,D,D,42,1
DBZ  ,D,2,2,D,D,43,1
DC1  ,D,3,3,D,D,44,1
DC3  ,D,3,3,G,F,45,1
DC4  ,D,3,2,G,F,46,1
DC5  ,D,3,2,G,F,47,1
DD1  ,D,4,3,G,F,48,1
DD2  ,D,4,3,G,F,49,1
DD3  ,D,4,2,G,F,50,1
DD4  ,D,4,3,G,F,51,1
DQ1  ,D,2,2,D,D,52,1
DQ2  ,D,2,2,D,D,53,1
DQ3  ,D,2,2,D,D,54,1
DQ4  ,D,2,2,D,D,55,1
DQ5  ,D,2,2,D,D,56,1
DQ6  ,D,2,2,D,D,57,1
DQ7  ,D,2,2,D,D,58,1
DQ8  ,D,2,2,D,D,59,1
DQ9  ,D,2,2,D,D,60,1
DQA  ,D,2,2,D,D,61,1
DQB  ,D,2,2,D,D,62,1
DQC  ,D,2,2,D,D,63,1
DQD  ,D,2,2,D,D,64,1
DQE  ,D,2,2,D,D,65,1
DQF  ,D,2,2,D,D,66,1
DQG  ,D,2,2,D,D,67,1
DQH  ,D,2,2,D,D,68,1
DQI  ,D,2,2,D,D,69,1
DQJ  ,D,2,2,D,D,70,1
RB1  ,R,2,2,D,D,71,1
RC1  ,R,3,3,D,D,72,1
RE1  ,R,5,5,D,D,73,1
RE2  ,R,4,5,D,D,74,1
RF1  ,R,6,5,D,D,75,1
