ROCKID,X_LOC,Y_LOC,ROCK_RECNO,FIRST_BMP
DA1  ,0,0,1,1
DA2  ,0,0,2,2
DA3  ,0,0,3,3
DA4  ,0,0,4,4
DA5  ,0,0,5,5
DA6  ,0,0,6,6
DA7  ,0,0,7,7
DA8  ,0,0,8,8
DA9  ,0,0,9,9
DAA  ,0,0,10,10
DAB  ,0,0,11,11
DAC  ,0,0,12,12
DAD  ,0,0,13,13
DAE  ,0,0,14,14
DAF  ,0,0,15,15
DAG  ,0,0,16,16
DB1  ,0,0,17,17
DB1  ,1,0,17,18
DB1  ,0,1,17,19
DB1  ,1,1,17,20
DB2  ,0,0,18,21
DB2  ,1,0,18,22
DB2  ,0,1,18,23
DB2  ,1,1,18,24
DB3  ,0,0,19,25
DB3  ,1,0,19,26
DB3  ,0,1,19,27
DB3  ,1,1,19,28
DC1  ,0,0,20,29
DC1  ,1,0,20,30
DC1  ,2,0,20,31
DC1  ,0,1,20,32
DC1  ,1,1,20,33
DC1  ,2,1,20,34
DC1  ,0,2,20,35
DC1  ,1,2,20,36
DC1  ,2,2,20,37
DC2  ,0,0,21,38
DC2  ,1,0,21,39
DC2  ,2,0,21,40
DC2  ,0,1,21,41
DC2  ,1,1,21,42
DC2  ,2,1,21,43
DC2  ,0,2,21,44
DC2  ,1,2,21,45
DC2  ,2,2,21,46
DC3  ,0,0,22,47
DC3  ,1,0,22,48
DC3  ,2,0,22,49
DC3  ,0,1,22,50
DC3  ,1,1,22,51
DC3  ,2,1,22,52
DC3  ,0,2,22,53
DC3  ,1,2,22,54
DC3  ,2,2,22,55
DD1  ,0,0,23,56
DD1  ,1,0,23,57
DD1  ,2,0,23,58
DD1  ,3,0,23,59
DD1  ,0,1,23,60
DD1  ,1,1,23,61
DD1  ,2,1,23,62
DD1  ,3,1,23,63
DD1  ,0,2,23,64
DD1  ,1,2,23,65
DD1  ,2,2,23,66
DD1  ,3,2,23,67
DD2  ,0,0,24,68
DD2  ,1,0,24,69
DD2  ,2,0,24,70
DD2  ,3,0,24,71
DD2  ,0,1,24,72
DD2  ,1,1,24,73
DD2  ,2,1,24,74
DD2  ,3,1,24,75
DD2  ,0,2,24,76
DD2  ,1,2,24,77
DD2  ,2,2,24,78
DD2  ,3,2,24,79
EB1  ,0,0,25,80
EB1  ,1,0,25,81
EB2  ,0,0,26,82
EB2  ,0,1,26,83
EC1  ,0,0,27,84
EC1  ,1,0,27,85
EC1  ,2,0,27,86
EC1  ,0,1,27,87
EC1  ,1,1,27,88
EC1  ,2,1,27,89
EC1  ,0,2,27,90
EC1  ,1,2,27,91
EC1  ,2,2,27,92
EC2  ,0,0,28,93
EC2  ,1,0,28,94
EC2  ,0,1,28,95
EC2  ,1,1,28,96
EC2  ,0,2,28,97
EC2  ,1,2,28,98
ED1  ,0,0,29,99
ED1  ,1,0,29,100
ED1  ,2,0,29,101
ED1  ,3,0,29,102
ED1  ,0,1,29,103
ED1  ,1,1,29,104
ED1  ,2,1,29,105
ED1  ,3,1,29,106
ED1  ,0,2,29,107
ED1  ,1,2,29,108
ED1  ,2,2,29,109
ED1  ,3,2,29,110
ED1  ,0,3,29,111
ED1  ,1,3,29,112
ED1  ,2,3,29,113
ED1  ,3,3,29,114
EE1  ,0,0,30,115
EE1  ,1,0,30,116
EE1  ,2,0,30,117
EE1  ,3,0,30,118
EE1  ,4,0,30,119
EE1  ,0,1,30,120
EE1  ,1,1,30,121
EE1  ,2,1,30,122
EE1  ,3,1,30,123
EE1  ,4,1,30,124
EE1  ,0,2,30,125
EE1  ,1,2,30,126
EE1  ,2,2,30,127
EE1  ,3,2,30,128
EE1  ,4,2,30,129
EE1  ,0,3,30,130
EE1  ,1,3,30,131
EE1  ,2,3,30,132
EE1  ,3,3,30,133
EE1  ,4,3,30,134
