ROCKID,X_LOC,Y_LOC,FRAME_NO,FILENAME,BITMAPPTR
DDA1 ,0,0,1,DDA1-00 ,762648
DDA2 ,0,0,1,DDA2-00 ,763680
DDA3 ,0,0,1,DDA3-00 ,764712
DDA4 ,0,0,1,DDA4-00 ,765744
DDA5 ,0,0,1,DDA5-00 ,766776
DDA6 ,0,0,1,DDA6-00 ,767808
DDA7 ,0,0,1,DDA7-00 ,768840
DDA8 ,0,0,1,DDA8-00 ,769872
DDA9 ,0,0,1,DDA9-00 ,770904
DDAA ,0,0,1,DDAA-00 ,775032
DDAB ,0,0,1,DDAB-00 ,776064
DDAC ,0,0,1,DDAC-00 ,777096
DDAD ,0,0,1,DDAD-00 ,778128
DDAE ,0,0,1,DDAE-00 ,779160
DDAF ,0,0,1,DDAF-00 ,780192
DDAG ,0,0,1,DDAG-00 ,781224
DDAH ,0,0,1,DDAH-00 ,782256
DDAI ,0,0,1,DDAI-00 ,783288
DDB1 ,0,0,1,DDB1-00 ,784320
DDB1 ,1,0,1,DDB1-01 ,785352
DDB1 ,0,1,1,DDB1-10 ,786384
DDB1 ,1,1,1,DDB1-11 ,787416
DDB2 ,0,0,1,DDB2-00 ,788448
DDB2 ,1,0,1,DDB2-01 ,789480
DDB2 ,0,1,1,DDB2-10 ,790512
DDB2 ,1,1,1,DDB2-11 ,791544
DDB3 ,0,0,1,DDB3-00 ,792576
DDB3 ,1,0,1,DDB3-01 ,793608
DDB3 ,0,1,1,DDB3-10 ,794640
DDB3 ,1,1,1,DDB3-11 ,795672
DDB4 ,0,0,1,DDB4-00 ,796704
DDB4 ,1,0,1,DDB4-01 ,797736
DDB4 ,0,1,1,DDB4-10 ,798768
DDB4 ,1,1,1,DDB4-11 ,799800
DDB5 ,0,0,1,DDB5-00 ,800832
DDB5 ,1,0,1,DDB5-01 ,801864
DDB5 ,0,1,1,DDB5-10 ,802896
DDB5 ,1,1,1,DDB5-11 ,803928
DDB6 ,0,0,1,DDB6-00 ,804960
DDB6 ,1,0,1,DDB6-01 ,805992
DDB6 ,0,1,1,DDB6-10 ,807024
DDB6 ,1,1,1,DDB6-11 ,808056
DDB7 ,0,0,1,DDB7-00 ,809088
DDB7 ,1,0,1,DDB7-01 ,810120
DDB7 ,0,1,1,DDB7-10 ,811152
DDB7 ,1,1,1,DDB7-11 ,812184
DDB8 ,0,0,1,DDB8-00 ,813216
DDB8 ,1,0,1,DDB8-01 ,814248
DDB8 ,0,1,1,DDB8-10 ,815280
DDB8 ,1,1,1,DDB8-11 ,816312
DDB9 ,0,0,1,DDB9-00 ,817344
DDB9 ,1,0,1,DDB9-01 ,818376
DDB9 ,0,1,1,DDB9-10 ,819408
DDB9 ,1,1,1,DDB9-11 ,820440
DDBA ,0,0,1,DDBA-00 ,821472
DDBA ,1,0,1,DDBA-01 ,822504
DDBA ,0,1,1,DDBA-10 ,823536
DDBA ,1,1,1,DDBA-11 ,824568
DDBB ,0,0,1,DDBB-00 ,825600
DDBB ,1,0,1,DDBB-01 ,826632
DDBB ,0,1,1,DDBB-10 ,827664
DDBB ,1,1,1,DDBB-11 ,828696
DDBC ,0,0,1,DDBC-00 ,829728
DDBC ,1,0,1,DDBC-01 ,830760
DDBC ,0,1,1,DDBC-10 ,831792
DDBC ,1,1,1,DDBC-11 ,832824
DDBD ,0,0,1,DDBD-00 ,833856
DDBD ,1,0,1,DDBD-01 ,834888
DDBD ,0,1,1,DDBD-10 ,835920
DDBD ,1,1,1,DDBD-11 ,836952
DDBE ,0,0,1,DDBE-00 ,837984
DDBE ,1,0,1,DDBE-01 ,839016
DDBE ,0,1,1,DDBE-10 ,840048
DDBE ,1,1,1,DDBE-11 ,841080
DDC1 ,0,0,1,DDC1-00 ,842112
DDC1 ,1,0,1,DDC1-01 ,843144
DDC1 ,2,0,1,DDC1-02 ,844176
DDC1 ,0,1,1,DDC1-10 ,845208
DDC1 ,1,1,1,DDC1-11 ,846240
DDC1 ,2,1,1,DDC1-12 ,847272
DDC1 ,0,2,1,DDC1-20 ,848304
DDC1 ,1,2,1,DDC1-21 ,849336
